shop_id,item_id,pred_qty_next_month,item_name,item_category_id,unit_cost_inr,mrp_inr,shop_city,shop_state,shop_region
38,1251,15.695454545454545,Lifebuoy Stationery 200g x5 (Economy),44,705.58,801.68,Chandigarh,Chandigarh,North
1,369,14.9,Lifebuoy Oral Care 100g x5 (Economy),29,39.14,47.03,Mumbai,Maharashtra,West
20,9,14.89090909090909,Lifebuoy Home Furnishing 500g x2 (Economy),52,728.82,827.57,Hyderabad,Telangana,South
14,829,14.10909090909091,Dabur Ready-to-Eat 200g x1 (Premium),11,62.55,79.2,Tirupati,Andhra Pradesh,South
22,836,13.204545454545455,Lifebuoy Ready-to-Eat 500g x1 (Economy),11,65.55,81.26,Siliguri,West Bengal,East
47,1472,13.190909090909091,Haldiram Health 50g x3 (Premium),36,219.87,245.27,Pune,Maharashtra,West
40,1472,11.736363636363636,Haldiram Health 50g x3 (Premium),36,219.87,245.27,Mumbai,Maharashtra,West
46,350,8.340909090909092,Red Bull Dairy 500ml x6 (Premium),2,255.08,283.85,Kolkata,West Bengal,East
21,1044,7.740909090909091,Dettol Dishwash 250ml x1 (Economy),40,99.05,115.47,Bengaluru,Karnataka,South
12,1025,7.5636363636363635,"Saffola Sauces, Ketchup 50ml x1 (Economy)",22,116.27,130.19,Faridabad,Haryana,North
20,1119,6.9772727272727275,Paper Boat Party Supplies 2000g x1 (Regular),82,444.6,562.11,Hyderabad,Telangana,South
30,343,6.031818181818182,MDH Ice Cream 100ml x2 (Regular),15,232.71,279.88,Ranchi,Jharkhand,East
14,593,5.931818181818182,Maggi Footwear 500ml x5 (Regular),59,704.63,818.29,Tirupati,Andhra Pradesh,South
10,1287,5.85,ITC Packaged Foods 100g x1 (Regular),10,28.34,31.03,Raipur,Chhattisgarh,Central
33,6,5.786363636363636,Dabur Batteries 2000ml x5 (Regular),67,947.09,1194.51,Ludhiana,Punjab,North
39,1405,5.668181818181818,Harpic Water 250g x4 (Economy),27,235.82,275.79,Visakhapatnam,Andhra Pradesh,South
7,74,5.663636363636364,Nestlé Category 91 500g x1 (Economy),91,2368.44,2846.26,Udaipur,Rajasthan,North
50,965,5.568181818181818,Bikaji Pickles 500g x1 (Economy),23,226.88,288.13,Meerut,Uttar Pradesh,North
32,947,5.536363636363636,ITC Gifting Combos 2000ml x10 (Regular),63,323.51,381.28,Indore,Madhya Pradesh,Central
28,293,5.490909090909091,ITC Sports 750g x1 (Regular),57,373.16,419.35,Meerut,Uttar Pradesh,North
6,1084,5.368181818181818,Dettol Pet Care 2000g x1 (Premium),46,982.32,1081.85,Coimbatore,Tamil Nadu,South
18,1084,5.0,Dettol Pet Care 2000g x1 (Premium),46,982.32,1081.85,Panaji,Goa,West
36,1097,4.995454545454545,Paper Boat Men's Grooming 2000ml x3 (Regular),33,560.07,626.01,Lucknow,Uttar Pradesh,North
5,298,4.986363636363636,Everest Festive Packs 100g x10 (Regular),62,608.86,695.73,Mumbai,Maharashtra,West
4,179,4.863636363636363,Kissan Pickles 250ml x1 (Regular),23,194.66,233.79,Amritsar,Punjab,North
47,47,4.836363636363636,Aashirvaad Shaving 1000ml x1 (Economy),79,1656.88,2042.35,Pune,Maharashtra,West
4,750,4.8090909090909095,Britannia Men's Grooming 200g x10 (Regular),33,408.56,487.91,Amritsar,Punjab,North
24,213,4.8,Colgate Home Care 200ml x5 (Premium),38,300.98,379.57,Ludhiana,Punjab,North
13,342,4.7272727272727275,Colgate Spices 1000g x3 (Regular),7,488.68,611.79,Dehradun,Uttarakhand,North
49,750,4.6909090909090905,Britannia Men's Grooming 200g x10 (Regular),33,408.56,487.91,Meerut,Uttar Pradesh,North
49,172,4.640909090909091,Kissan Hair Care 50ml x12 (Economy),30,346.12,378.57,Meerut,Uttar Pradesh,North
20,1132,4.631818181818182,Appy Category 91 250ml x5 (Economy),91,2682.53,3047.53,Hyderabad,Telangana,South
47,402,4.5590909090909095,Patanjali OTC Medicines 2000ml x1 (Economy),37,1022.59,1293.15,Pune,Maharashtra,West
10,172,4.5181818181818185,Kissan Hair Care 50ml x12 (Economy),30,346.12,378.57,Raipur,Chhattisgarh,Central
17,419,4.318181818181818,Tropicana Baking Supplies 2000ml x2 (Economy),25,194.19,228.37,Tirupati,Andhra Pradesh,South
25,670,4.277272727272727,Surf Excel Soft Drinks 1000g x2 (Regular),26,100.9,115.27,Bhubaneswar,Odisha,East
2,1320,4.2272727272727275,Pepsi Pickles 200ml x1 (Economy),23,213.95,241.91,Gurugram,Haryana,North
16,598,4.218181818181818,Kissan Health Drinks 250ml x1 (Regular),18,121.57,150.44,Mumbai,Maharashtra,West
4,1132,4.2,Appy Category 91 250ml x5 (Economy),91,2682.53,3047.53,Amritsar,Punjab,North
39,816,4.140909090909091,Paper Boat Spices 750g x3 (Economy),7,481.78,549.69,Visakhapatnam,Andhra Pradesh,South
49,677,3.981818181818182,Coca-Cola Soft Drinks 750g x1 (Economy),26,77.36,92.08,Meerut,Uttar Pradesh,North
41,750,3.963636363636364,Britannia Men's Grooming 200g x10 (Regular),33,408.56,487.91,Ranchi,Jharkhand,East
23,709,3.8454545454545452,MDH Home Care 200g x1 (Regular),38,182.61,225.36,Meerut,Uttar Pradesh,North
23,484,3.840909090909091,Saffola Protein 750g x2 (Regular),76,278.68,336.63,Meerut,Uttar Pradesh,North
40,190,3.7954545454545454,Paper Boat Protein 250ml x10 (Regular),76,321.04,352.68,Mumbai,Maharashtra,West
31,127,3.790909090909091,Lifebuoy Fresh Produce 200ml x1 (Regular),1,123.71,148.0,Gwalior,Madhya Pradesh,Central
43,926,3.7772727272727273,ITC Dishwash 500g x2 (Regular),40,134.35,166.97,Indore,Madhya Pradesh,Central
19,74,3.7409090909090907,Nestlé Category 91 500g x1 (Economy),91,2368.44,2846.26,Mangaluru,Karnataka,South
