promo_id,start_date,end_date,shop_id,item_category_id,promo_type,promo_channel,discount_pct,demand_uplift_mult
1,2021-02-21,2021-02-24,13,79,Price Drop,In-Store,0.31,1.74
2,2023-05-16,2023-05-23,44,46,Buy X Get Y,In-Store,0.06,1.72
3,2022-06-04,2022-06-11,28,52,Category Discount,In-Store,0.3,1.52
4,2025-08-19,2025-08-24,35,28,Weekend Saver,WhatsApp,0.3,1.92
5,2021-08-22,2021-08-26,1,70,Weekend Saver,In-Store,0.31,1.95
6,2022-07-24,2022-07-31,15,87,Category Discount,App Notification,0.2,1.74
7,2025-01-08,2025-01-11,21,50,Price Drop,In-Store,0.2,1.65
8,2024-08-30,2024-09-07,25,19,Festive Mega Sale,WhatsApp,0.3,1.54
9,2025-10-22,2025-10-27,18,14,Price Drop,In-Store,0.19,1.85
10,2024-03-29,2024-03-31,40,29,Category Discount,Flyer,0.31,2.04
11,2023-11-24,2023-11-26,16,59,Category Discount,App Notification,0.34,1.36
12,2023-05-18,2023-05-21,10,20,Category Discount,In-Store,0.06,2.19
13,2023-10-30,2023-11-07,19,34,Category Discount,In-Store,0.1,1.98
14,2023-06-30,2023-07-07,7,16,Category Discount,In-Store,0.26,2.19
15,2021-12-02,2021-12-04,42,57,Festive Mega Sale,In-Store,0.11,1.61
16,2024-04-11,2024-04-14,25,49,Combo Offer,In-Store,0.1,2.18
17,2025-05-23,2025-05-30,36,81,Buy X Get Y,In-Store,0.27,1.42
18,2025-08-29,2025-09-04,38,37,Clearance,In-Store,0.33,1.87
19,2023-08-25,2023-08-31,37,70,Buy X Get Y,WhatsApp,0.2,1.16
20,2025-07-28,2025-07-30,17,87,Buy X Get Y,Billboard,0.18,1.3
21,2023-10-03,2023-10-06,25,80,Price Drop,WhatsApp,0.3,1.32
22,2025-12-29,2026-01-02,25,74,Festive Mega Sale,WhatsApp,0.17,1.31
23,2023-04-03,2023-04-09,11,55,Weekend Saver,Flyer,0.29,1.34
24,2023-08-09,2023-08-16,29,44,Price Drop,In-Store,0.34,1.43
25,2021-07-24,2021-07-27,49,33,Festive Mega Sale,Billboard,0.1,1.78
26,2025-03-25,2025-03-31,23,44,Buy X Get Y,Flyer,0.28,2.18
27,2022-04-21,2022-04-23,1,13,Category Discount,In-Store,0.06,1.59
28,2022-06-13,2022-06-15,17,9,Festive Mega Sale,In-Store,0.23,1.75
29,2022-10-21,2022-10-23,20,95,Category Discount,App Notification,0.21,1.22
30,2022-01-24,2022-01-28,44,7,Combo Offer,In-Store,0.22,2.15
31,2025-01-24,2025-01-27,11,24,Combo Offer,Flyer,0.11,1.88
32,2024-01-09,2024-01-11,47,14,Festive Mega Sale,In-Store,0.09,1.46
33,2021-08-30,2021-09-03,20,82,Buy X Get Y,In-Store,0.05,1.92
34,2025-10-28,2025-10-30,30,25,Combo Offer,In-Store,0.31,2.13
35,2023-03-24,2023-03-31,32,29,Price Drop,Flyer,0.29,1.24
36,2024-02-21,2024-02-23,9,49,Festive Mega Sale,WhatsApp,0.31,1.64
37,2021-10-03,2021-10-09,50,26,Category Discount,Flyer,0.23,1.88
38,2024-10-06,2024-10-10,10,71,Weekend Saver,Flyer,0.13,1.42
39,2021-08-01,2021-08-07,37,50,Category Discount,In-Store,0.32,1.2
40,2021-10-31,2021-11-06,17,82,Category Discount,In-Store,0.15,1.76
41,2025-08-20,2025-08-27,3,50,Category Discount,WhatsApp,0.28,1.35
42,2025-11-29,2025-12-05,42,51,Category Discount,App Notification,0.16,1.43
43,2025-03-10,2025-03-13,16,65,Combo Offer,App Notification,0.06,2.09
44,2023-06-18,2023-06-22,42,5,Weekend Saver,Flyer,0.3,1.25
45,2025-03-23,2025-03-29,15,29,Festive Mega Sale,In-Store,0.17,1.21
46,2024-01-24,2024-02-01,7,96,Price Drop,In-Store,0.26,1.32
47,2023-12-28,2024-01-02,43,78,Clearance,In-Store,0.12,1.66
48,2021-08-14,2021-08-19,31,58,Category Discount,App Notification,0.15,1.57
49,2025-12-29,2026-01-02,5,24,Weekend Saver,App Notification,0.19,1.6
50,2025-02-16,2025-02-24,35,41,Category Discount,In-Store,0.11,2.09
51,2022-02-04,2022-02-12,48,100,Combo Offer,In-Store,0.29,1.13
52,2022-12-03,2022-12-10,23,23,Buy X Get Y,In-Store,0.29,1.24
53,2021-06-04,2021-06-08,33,30,Clearance,In-Store,0.34,1.94
54,2025-10-18,2025-10-26,15,30,Clearance,In-Store,0.24,1.84
55,2021-06-22,2021-06-30,10,84,Combo Offer,Flyer,0.09,1.67
56,2023-12-11,2023-12-13,35,19,Category Discount,In-Store,0.09,2.01
57,2022-08-22,2022-08-24,15,26,Category Discount,In-Store,0.19,2.1
58,2021-05-06,2021-05-10,49,96,Weekend Saver,In-Store,0.28,1.51
59,2024-12-01,2024-12-03,21,44,Festive Mega Sale,Flyer,0.29,2.09
60,2021-01-13,2021-01-15,18,61,Category Discount,In-Store,0.26,1.33
61,2022-09-20,2022-09-28,40,7,Festive Mega Sale,WhatsApp,0.35,1.3
62,2025-08-26,2025-08-30,21,13,Festive Mega Sale,Flyer,0.09,1.62
63,2025-07-25,2025-07-27,49,5,Category Discount,WhatsApp,0.32,1.85
64,2023-09-26,2023-10-02,29,95,Category Discount,Billboard,0.22,1.57
65,2025-02-15,2025-02-21,48,20,Weekend Saver,In-Store,0.26,1.44
66,2021-12-12,2021-12-18,14,27,Combo Offer,WhatsApp,0.07,1.94
