year_month,year,month,shop_id,item_id,qty,avg_price,avg_mrp,promo_days,stockout_days,revenue,item_category_id,brand,tier,mrp_inr,unit_cost_inr,is_perishable,item_category_name,shop_city,shop_state,shop_region,store_type,store_size_sqft,holiday_days,weekend_days,festive_days,summer_days,monsoon_days,days_in_month,promo_discount_pct,promo_uplift,promo_campaigns,avg_on_hand,avg_reorder_point,avg_lead_time,inv_snapshots,price_ratio,price_discount_pct,qty_lag_1,qty_lag_2,qty_lag_3,qty_roll_3,qty_roll_6,price_lag_1,price_change_pct,qty_trend,promo_intensity,qty_next_month,promo_flag,cost_est,profit_est,anomaly_score,is_anomaly
2024-02,2024,2,19,857,19,1272.63,1832.815,2,0,23915.882999999998,34,Tropicana,Regular,1527.12,1230.92,0,Women’s Hygiene,Mangaluru,Karnataka,South,Supermarket,20845,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6943581321628206,0.3056418678371794,6.0,6.0,4.0,5.333333333333333,0.0,1253.9,0.01493739531466833,5.333333333333333,0.16666666666666666,3.0,1,23387.480000000003,528.4029999999948,-0.1016140545596308,-1
2023-11,2023,11,32,1028,28,2482.6549999999997,3088.7349999999997,1,0,24396.125999999997,79,Ariel,Regular,2608.1,2367.37,0,Shaving & Deodorants,Indore,Madhya Pradesh,Central,Supermarket,26766,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.8037772745152951,0.19622272548470487,10.0,14.0,14.0,12.666666666666666,13.0,2384.56,0.041137568339174625,-0.3333333333333339,0.08333333333333333,14.0,1,66286.36,-41890.234000000004,-0.09968773207173365,-1
2022-10,2022,10,35,1092,28,1887.125,2402.2200000000003,1,0,24396.125999999997,99,Maggi,Economy,2165.62,1937.59,0,Category 99,Patna,Bihar,East,Supermarket,36265,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.7855754260642238,0.21442457393577619,14.0,14.0,28.0,18.666666666666668,0.0,1394.19,0.35356371774753526,18.666666666666668,0.08333333333333333,14.0,1,54252.52,-29856.394,-0.09181777417885273,-1
2024-10,2024,10,40,74,13,1879.52,3557.38,1,0,12198.062999999998,91,Nestlé,Economy,2846.26,2368.44,0,Category 91,Mumbai,Maharashtra,West,Hypermarket,56118,0,4,2,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5283438935396274,0.4716561064603726,6.0,4.0,14.0,8.0,6.833333333333333,2976.17,-0.36847693499750456,1.166666666666667,0.08333333333333333,4.0,1,30789.72,-18591.657000000003,-0.08976722798022407,-1
2022-02,2022,2,13,598,10,77.34,160.72,1,0,773.4,18,Kissan,Regular,150.44,121.57,0,Health Drinks,Dehradun,Uttarakhand,North,Supermarket,27118,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.48120955699352913,0.5187904430064709,6.0,0.0,0.0,0.0,0.0,131.33,-0.41110180148403414,0.0,0.08333333333333333,3.0,1,1215.6999999999998,-442.29999999999984,-0.08919016324504536,-1
2021-02,2021,2,46,687,7,3501.7595999999994,5119.204599999996,1,0,16479.733,89,Nivea,Regular,5133.76,4131.56,0,Value Packs,Kolkata,West Bengal,East,Large Format,59475,1,3,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.6840436891309252,0.31595631086907483,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08333333333333333,2.0,1,28920.920000000002,-12441.187000000002,-0.08834305817307508,-1
2022-02,2022,2,12,876,19,87.06,104.505,1,0,1933.74,29,Catch,Premium,97.85,87.49,0,Oral Care,Faridabad,Haryana,North,Large Format,38964,1,4,1,3,3,12,0.0,1.0,0,61.0,21.0,4.0,1,0.8330701880292809,0.1669298119707191,14.0,28.0,4.0,15.333333333333334,12.5,86.3,0.008806488889843757,2.833333333333334,0.08333333333333333,12.0,1,1662.31,271.43000000000006,-0.08700137310438116,-1
2022-02,2022,2,30,1246,2,1623.72,3014.8,1,1,3247.44,75,Surf Excel,Regular,2827.85,2432.17,0,Energy Drinks,Ranchi,Jharkhand,East,Supermarket,34029,1,4,1,3,3,12,0.0,1.0,0,0.0,0.0,0.0,0,0.5385829905798063,0.4614170094201937,2.0,2.0,0.0,0.0,0.0,2235.58,-0.2736918382371949,0.0,0.08333333333333333,4.0,1,4864.34,-1616.9,-0.08597898957243655,-1
2024-02,2024,2,27,1251,14,566.94,960.16,1,0,10204.92,44,Lifebuoy,Economy,801.68,705.58,0,Stationery,Vijayawada,Andhra Pradesh,South,Supermarket,27237,1,3,1,3,3,12,0.0,1.0,0,75.0,21.0,7.0,1,0.590464089318447,0.40953591068155304,12.0,11.0,20.0,14.333333333333334,0.0,729.2,-0.22251782745129203,14.333333333333334,0.08333333333333333,8.0,1,9878.12,326.7999999999993,-0.08570048827303578,-1
2024-02,2024,2,40,1446,14,308.69,519.67,1,0,5247.73,8,Catch,Regular,433.69,363.54,0,"Sugar, Jaggery & Salt",Mumbai,Maharashtra,West,Hypermarket,56118,1,3,1,3,3,12,0.0,1.0,0,71.0,21.0,9.0,1,0.5940115842746359,0.40598841572536415,14.0,12.0,41.0,22.333333333333332,15.5,415.13,-0.2564016085168463,6.833333333333332,0.08333333333333333,13.0,1,5089.56,158.16999999999916,-0.08351067321812722,-1
